"","TN_05","TN_01","TP_05","TP_01","TP_001","OIR_05","OIR_01","OIR_001","CGR_05","CGR_01","D50_05","D50_01","D50_001"
"1","RPRN_VEG_CNPY_CVR","OBSRVD_INVRT_RCHNSS","WDRatio","ReachLength","StreamOrder","StreamOrder","LWD_FREQ","Non_NTVE_HRB","RPRN_VEG_CNPY_CVR","NON_NTVE_HRB","StreamOrder","VEG_CMPLXTY","WTTD_WT"
"2","RPRN_VEG_GC","WDRatio",NA,"INSTNT_TEMP","BNK_STBLTY","RPRN_VEG_CNPY_CVR","BNK_STBLTY","TotalN","RPRN_VEG_GC","LWD_FREQ","RPRN_VEG_CNPY_CVR","RPRN_VEG_GC","WDRatio"
"3","RPRN_VEG_GC",NA,NA,"LWD_FREQ","D50","RPRN_VEG_UNDRSTRY_CVR","INCSN_HT",NA,"NTVE_HRB","OBSRVD_INVRT_RCHNSS","NON_NTVE_HRB","SDGE_RSH",NA
"4","LWD_FREQ",NA,NA,"AMCROINVRTBRTE_CNT",NA,"RPRN_VEG_GC","CHN_INCSN",NA,"SDGE_RSH",NA,"pH","LWD_FREQ",NA
"5","INCSN_HT",NA,NA,NA,NA,"NTVE_HRB","WTTD_WT",NA,"BNK_STBLTY",NA,"INCSN_HT","Number_of_dams_upstream.x",NA
"6","CHN_INCSN",NA,NA,NA,NA,"Number_of_dams_upstream.x","WDRatio",NA,"TotalN",NA,"OBSRVD_INVRT_RCHNSS","TotalN",NA
"7","WTTD_WT",NA,NA,NA,NA,"D50","Catchment_are_sqkm",NA,"INCSN_HT",NA,"Dams_per_sqkm",NA,NA
"8","Dams_per_sqkm",NA,NA,NA,NA,"Dams_per_sqkm",NA,NA,"CHN_INCSN",NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,"WTTD_WT",NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,"Number_of_dams_upstream.x",NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,"D50",NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,"Dams_per_sqkm",NA,NA,NA,NA
