"","Site_CD","Number_of_dams_upstream","Catchment_area_sqkm","Dams_per_sqkm"
"1","MN-SS-1114",0,3.278525,0
"2","SB-LS-11507",22,1054.315896,0.0208666113102026
"3","SB-LS-12815",6,488.041587,0.0122940342786813
"4","SB-LS-14579",22,1136.863112,0.0193514942720738
"5","SB-LS-19699",22,1054.315896,0.0208666113102026
"6","SB-LS-21007",6,485.930892,0.0123474347870849
"7","SB-LS-22771",22,1111.385114,0.0197951184723174
"8","SB-LS-23795",22,1023.717447,0.0214903048340838
"9","SB-RV-10739",60,2049.057984,0.0292817482318743
"10","SB-RV-11763",29,2167.110884,0.0133818717879689
"11","SB-RV-17167",43,6946.279107,0.00619036455887116
"12","SB-RV-19955",29,2243.072152,0.0129286969097907
"13","SB-RV-20723",60,2062.843736,0.0290860616114065
"14","SB-SS-13071",0,5.155768,0
"15","SB-SS-14835",1,67.582239,0.0147967870670873
"16","SB-SS-14863",12,4.844086,2.47724751377246
"17","SB-SS-16143",0,2.60631,0
"18","SB-SS-24335",0,15.48507,0
"19","SB-SS-25359",0,3.460627,0
"20","SB-SS-26383",4,32.879153,0.121657635158667
"21","SB-SS-28431",0,1.78439,0
"22","SP-TR-001",1,428.478517,0.00233383929491149
"23","SW-LS-11007",2,154.008436,0.0129863016075301
"24","SW-LS-12559",1,494.743374,0.00202124990965518
"25","SW-LS-15103",2,146.110936,0.0136882293328133
"26","SW-LS-19727",1,523.652933,0.00190966179501949
"27","SW-LS-20751",102,309.798583,0.32924617992846
"28","SW-LS-23295",2,87.936425,0.0227437037609841
"29","SW-LS-23823",1,510.320728,0.00195955199374147
"30","SW-RV-10511",1302,4609.566468,0.282456063718485
"31","SW-RV-10767",104,9175.868462,0.0113340770337647
"32","SW-RV-11023",106,9239.396127,0.0114726112554304
"33","SW-RV-11535",1099,3078.06871,0.357042062261177
"34","SW-RV-21775",33,1905.30168,0.0173200917977462
"35","SW-RV-22031",93,331.206684,0.280791434752567
"36","SW-RV-22799",1268,4115.027416,0.30813889479078
"37","SW-SS-12022",0,18.114031,0
"38","SW-SS-19190",0,18.114031,0
"39","SW-SS-19199",0,53.877921,0
"40","SW-SS-23311",7,68.435463,0.102286149507018
"41","SW-SS-24847",0,10.141796,0
"42","SW-SS-26111",0,38.631379,0
"43","SW-SS-27382",0,23.145169,0
"44","SW-TR-1025",0,15.085839,0
"45","SW-TR-1299",22,110.064516,0.199882766940074
