"OBJECTID","MIDLAT","MIDLONG","StreamOrder","BTMLAT","BTMLONG","TRLAT","TRLONG","ReachLength","PercentCover","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","MACROINVRTBRTE_CNT","TotalN","PredictedN","TotalP","PredictedP","SpC","PredictedSpC","pH","INSTNT_TEMP","PercentPools","AvgPoolDepth","NumberPools","LWD_FREQ","LWDVolume","PercentFines2","PercentFines6","D16","D84","D50","BNK_STBLTY","BNK_CVR_LWD","BNKFLL_HT","INCSN_HT","CHN_INCSN","Number_of_dams_upstream"
6930,47.478781,-119.889386,4,47.478339,-119.888768,47.479192,-119.890274,150,47.2,1.79,0.3,0.25,0.28,0,100,50,59,27,5,5.8276836,300,880.2,182.5,111.3,40.4,310.8,229.1,7.76,15.3,58,0.53,5,4.242,0.273,14.3,14.8,15,127,64,98,1,0.18,0.35,-0.56,1
6980,47.004421,-117.948011,5,47.003902,-117.947099,47.005592,-117.947903,230,0.3,1.31,0.08,0.17,0.28,0,95,82,95,0,5,5.32802646,300,2440.6,231,86.8,36.6,372,211.6,8.45,13.7,15.52,0.24,2,0.87,0.054,0.5,0.5,73,386,146,100,0,0.25,0.64,-0.31,60
7045,47.299609,-118.210318,4,47.299231,-118.211047,47.299325,-118.209425,150,12.4,1.3,0.02,0.02,0.02,0,18,100,100,9,2,4.78062976,300,2050.2,165.8,69,34.6,374.1,216,8.16,19.1,15.2,0.64,2,0,0,42.4,42.9,1,4098,20,90,0,0.28,0.65,-0.32,22
7192,47.298559,-118.33692,4,47.299085,-118.337411,47.298191,-118.33642,150,3.2,1.2,0.01,0.15,0.09,0,36,100,95,95,5,4.78240764,300,1491.5,155.6,67.1,34.5,368.4,217.8,8.87,21,14.67,0.56,1,0,0,12.9,13.3,13,90,38,64,0,0.08,0.34,-0.45,22
7375,45.880212,-120.550378,3,45.879785,-120.549894,45.880347,-120.551242,150,95.2,1.41,0.51,0.25,0.49,0,100,0,100,0,2,5.23580029,300,197.9,143.4,41.1,33.3,133.3,155.5,7.33,16,63.06,0.21,18,1.333,0.175,0.5,0.5,64,420,118,88,5,0.37,1.28,0.01,2
7395,45.889177,-120.549198,3,45.888591,-120.549184,45.889232,-120.548124,155.2,91.8,1.4,0.6,0.15,0.42,0,100,4,96,17,6,5.189533,300,122.8,117.8,50.1,32.8,183.8,154.8,7.78,17.8,40.46,0.27,10,2.929,0.273,0.5,0.5,51,300,98,79,3,0.36,0.78,-0.28,2
7416,48.113548,-118.071996,2,48.113996,-118.072305,48.112856,-118.072267,150,65,1.19,0.01,0.05,0.02,0,96,96,96,48,6,5.60346676,300,139.5,142.2,29,26.1,232.4,142.7,8.46,11.2,28.33,0.26,8,11.333,4.185,5.5,5.9,34,159,78,60,7,0.27,0.63,-0.33,4
7444,48.038294,-118.075125,1,48.038815,-118.075227,48.037545,-118.075655,150,82.6,0.61,0,0.04,0,0,68,18,100,0,2,6.1041808,300,216.8,181.7,10.2,24.8,53.5,114.6,6.88,7,43.27,0.07,121,21.818,24.508,17.1,20,2,61,21,73,12,0.2,0.36,-0.59,0
7458,47.496664,-119.946066,2,47.496879,-119.945166,47.496526,-119.946995,150,90.1,1.36,0.31,0.2,0.34,0,100,73,100,18,5,5.69898727,300,181.4,171.8,133,42.2,159.4,192.5,7.73,14.1,32.67,0.17,17,0,0,2.4,2.4,35,158,70,26,0,0.39,1.12,-0.08,0
7468,47.712164,-118.831287,4,47.711501,-118.83116,47.712802,-118.831639,156.4,0.1,1.12,0,0,0,0,19,58,96,4,2,4.76876367,300,2923.8,185.7,82.8,37.7,365.1,222.1,8.75,12,42.52,0.2,5,0,0,38.7,39.1,1,142,44,81,0,0.14,0.22,-0.75,6
