"OBJECTID","ReachLength","StreamOrder","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","TotalN","TotalP","SpC","pH","INSTNT_TEMP","LWD_FREQ","LWDVolume","BNK_STBLTY","BNKFLL_HT","INCSN_HT","CHN_INCSN","BNKFLL_WT","WTTD_WT","WDRatio","OBSRVD_INVRT_RCHNSS","MACROINVRTBRTE_CNT","D50","Number_of_dams_upstream.x","Catchment_area_sqkm","Dams_per_sqkm"
"6820",150,2,2.05,0.55,0.72,0.68,0,100,5,5,0,56,19.6,199.5,6.81,12.4,0.667,0.029,100,0.39,1.09,-0.1,4.34,1.66,11,3,300,81,0,53.877921,0
"6846",150,4,1.84,0,0.86,0.08,0,64,0,100,18,451.4,101.5,305.5,7.7,12.7,0,0,98,0.31,0.78,-0.25,4.67,3.28,15,5,300,60,1,494.743374,0.00202124990965518
"6930",150,4,1.79,0.3,0.25,0.28,0,100,50,59,27,880.2,111.3,310.8,7.76,15.3,4.242,0.273,98,0.18,0.35,-0.56,5.25,4.51,29,5,300,64,1,510.320728,0.00195955199374147
"6978",150,5,1,0,0,0,0,41,100,100,0,1157.3,110.8,440.9,7.35,11.1,0,0,98,0.2,0.7,-0.23,8.61,7.51,43,5,300,43,29,2167.110884,0.0133818717879689
"6980",230,5,1.31,0.08,0.17,0.28,0,95,82,95,0,2440.6,86.8,372,8.45,13.7,0.87,0.054,100,0.25,0.64,-0.31,11.34,10.29,45,5,300,146,60,2062.843736,0.0290860616114065
"7045",150,4,1.3,0.02,0.02,0.02,0,18,100,100,9,2050.2,69,374.1,8.16,19.1,0,0,90,0.28,0.65,-0.32,4.66,4.36,17,2,300,20,22,1023.717447,0.0214903048340838
"7100",150,2,1.96,0.28,0.57,0.71,0,100,0,100,0,149.9,67.3,164.5,6.42,7.6,2,0.112,95,0.38,1.03,-0.13,2.28,0.6,6,3,300,68,0,18.114031,0
"7192",150,4,1.2,0.01,0.15,0.09,0,36,100,95,95,1491.5,67.1,368.4,8.87,21,0,0,64,0.08,0.34,-0.45,6.5,5.87,81,5,300,38,22,1111.385114,0.0197951184723174
"7230",150,2,1.4,0.01,0.22,0.09,0,95,0,100,0,43.8,8.3,144.2,7.7,6.8,29.333,7.764,100,0.23,0.74,-0.21,2.52,1.57,11,4,300,26,12,4.844086,2.47724751377246
"7375",150,3,1.41,0.51,0.25,0.49,0,100,0,100,0,197.9,41.1,133.3,7.33,16,1.333,0.175,88,0.37,1.28,0.01,6.61,2.72,18,2,300,118,2,146.110936,0.0136882293328133
"7395",155.2,3,1.4,0.6,0.15,0.42,0,100,4,96,17,122.8,50.1,183.8,7.78,17.8,2.929,0.273,79,0.36,0.78,-0.28,7.25,4.07,20,6,300,98,2,87.936425,0.0227437037609841
"7416",150,2,1.19,0.01,0.05,0.02,0,96,96,96,48,139.5,29,232.4,8.46,11.2,11.333,4.185,60,0.27,0.63,-0.33,4.91,3.56,18,6,300,78,4,32.879153,0.121657635158667
"7444",150,1,0.61,0,0.04,0,0,68,18,100,0,216.8,10.2,53.5,6.88,7,21.818,24.508,73,0.2,0.36,-0.59,1.39,0.86,7,2,300,21,0,3.460627,0
"7454",150,2,1.42,0.34,0.22,0.44,0,100,0,100,0,1439.5,100,151.2,6.84,10,1.333,0.058,100,0.22,0.51,-0.41,2.14,1.45,10,4,300,68,0,18.114031,0
"7458",150,2,1.36,0.31,0.2,0.34,0,100,73,100,18,181.4,133,159.4,7.73,14.1,0,0,26,0.39,1.12,-0.08,2.73,1.74,7,5,300,70,0,23.145169,0
"7468",156.4,4,1.12,0,0,0,0,19,58,96,4,2923.8,82.8,365.1,8.75,12,0,0,81,0.14,0.22,-0.75,7.15,5.46,51,2,300,44,6,485.930892,0.0123474347870849
"7472",150,2,0.79,0.02,0.12,0.23,0,100,32,23,0,44.4,29.1,130.4,7.4,16.5,3.333,1.117,88,0.28,0.58,-0.4,3.96,2.31,14,6,125,98,0,38.631379,0
"7485",150,4,1.61,0.09,0.7,0.66,0,96,0,100,4,769.1,88.1,168.2,8.29,14.9,6,0.427,93,0.32,0.8,-0.24,7.54,6.56,24,7,300,74,102,309.798583,0.32924617992846
"7486",150,1,1.3,0,0.17,0.19,0,100,14,100,0,354.7,211.7,194.6,8.27,10.2,10.667,11.128,50,0.34,0.69,-0.35,1.62,0.98,5,4,204,26,0,1.78439,0
"7495",158.4,4,0.44,0.06,0.19,0.11,0,100,50,42,67,452,18,259.5,8.19,12.1,10.732,1.493,64,0.45,1.09,-0.13,8.06,5.5,18,6,300,290,22,110.064516,0.199882766940074
"7504",150,4,1.07,0,0.88,0.03,0,23,36,100,5,4966,117.2,517,6.97,9.9,0,0,98,0.2,0.48,-0.42,6.14,5.37,31,2,300,1,6,488.041587,0.0122940342786813
"7506",150,4,1.21,0,0.06,0.06,0,45,100,100,59,1965.3,54.4,366.4,8.76,22.6,0,0,83,0.2,0.47,-0.43,3.05,2.21,15,3,300,24,22,1054.315896,0.0208666113102026
"7509",150,1,1.3,0.11,0.05,0.18,0,95,0,95,95,2061,10.3,704,8.71,17.1,12.667,3.943,79,0.18,0.33,-0.61,2.24,1.08,12,4,300,1,0,5.155768,0
"7536",150,2,1.14,0.11,0.09,0.14,0,96,19,100,85,153.1,113.3,119.8,7.88,11.2,29.333,8.555,48,0.3,0.9,-0.15,5.79,3.43,19,6,300,64,0,15.48507,0
"7544",232,1,1.66,0.51,0.08,0.38,0,100,0,100,0,16.7,1.8,10.8,5.88,15.3,5.878,22.678,79,0.42,0.73,-0.39,10.71,7.84,26,9,300,119,0,10.141796,0
"7550",150,1,2.38,0.36,0.88,0.86,0,100,0,100,0,140.8,0,680,7.68,6.9,23.333,4.969,100,0.17,0.53,-0.34,1.5,0.8,9,5,300,2,0,2.60631,0
"7606",150,2,0.55,0,0.03,0,0,0,82,100,27,493.1,87.5,317.4,7.18,14.3,0,0,100,0.1,0.25,-0.61,7.28,6.07,73,3,122,1,1,67.582239,0.0147967870670873
"7672",150,5,1.07,0,0.22,0.13,0,23,93,100,100,2613.4,135.8,446.2,8.64,20.7,0.667,0.029,64,0.16,0.3,-0.61,10.6,6.66,66,4,300,57,29,2243.072152,0.0129286969097907
"7685",150,2,1.06,0,0.3,0.18,0,100,100,100,86,742.7,15.5,922,8.16,18.1,0.667,0.698,71,0.27,0.71,-0.27,3.61,1.7,13,7,300,40,7,68.435463,0.102286149507018
