"","OBJECTID","SITE_CD","StreamName","MIDLAT","MIDLONG","StreamOrder","BTMLAT","BTMLONG","TRLAT","TRLONG","ReachLength","PercentCover","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","MACROINVRTBRTE_CNT","TotalN","PredictedN","TotalP","PredictedP","SpC","PredictedSpC","pH","INSTNT_TEMP","PercentPools","AvgPoolDepth","NumberPools","LWD_FREQ","LWDVolume","PercentFines2","PercentFines6","D16","D84","D50","BNK_STBLTY","BNK_CVR_LWD","BNKFLL_HT","INCSN_HT","CHN_INCSN","THLWG_DEP_MN","PCT_DRY","BNKFLL_WT","WTTD_WT","FloodWidth","EntrenchmentRatio","SLPE","SNSTY","BVR_SGN","Number_of_dams_upstream","geometry"
"1",6820,"SW-SS-19199","Rock Creek",45.885509,-120.562843,"2",45.884841,-120.562831,45.886083,-120.56328,150,98.3,2.05,0.55,0.72,0.68,0,100,5,5,0,3,5.15851637,300,56,146,19.6,38.5,199.5,154.1,6.81,12.4,NA,NA,NA,0.667,0.029,1.5,1.5,30,230,81,100,0,0.39,1.09,-0.1,NA,NA,4.34,1.66,7.8,1.8,3.37,1.05,"ABSENT",0,c(-120.562857217253, 45.8855147039312)
"2",6846,"SW-LS-12559","Douglas Creek",47.493664,-119.905301,"4",47.493191,-119.904791,47.494092,-119.905769,150,38.8,1.84,0,0.86,0.08,0,64,0,100,18,5,5.82992331,300,451.4,182.1,101.5,37.2,305.5,228.1,7.7,12.7,29.52,0.41,4,0,0,10.2,10.2,20,200,60,98,0,0.31,0.78,-0.25,NA,NA,4.67,3.28,9.06,1.94,1.23,1.21,"ABSENT",1,c(-119.905315461804, 47.4936698736046)
"3",6930,"SW-LS-23823","DOUGLAS CREEK",47.478781,-119.889386,"4",47.478339,-119.888768,47.479192,-119.890274,150,47.2,1.79,0.3,0.25,0.28,0,100,50,59,27,5,5.8276836,300,880.2,182.5,111.3,40.4,310.8,229.1,7.76,15.3,58,0.53,5,4.242,0.273,14.3,14.8,15,127,64,98,1,0.18,0.35,-0.56,0.39,0,5.25,4.51,9.05,1.8,0.79,1.02,"RARE",1,c(-119.889400455567, 47.4787868744033)
"4",6978,"SB-RV-11763","Crab Creek",47.347641,-118.767749,"5",47.347064,-118.767964,47.348145,-118.76806,150,9.6,1,0,0,0,0,41,100,100,0,5,4.75864436,300,1157.3,202.5,110.8,42.2,440.9,222.6,7.35,11.1,34,0.52,1,0,0,26.4,27.1,1,295,43,98,0,0.2,0.7,-0.23,NA,NA,8.61,7.51,12.68,1.47,0.55,1.25,"ABSENT",29,c(-118.767763227382, 47.3476469857114)
"5",6980,"SB-RV-20723","ROCK CREEK",47.004421,-117.948011,"5",47.003902,-117.947099,47.005592,-117.947903,230,0.3,1.31,0.08,0.17,0.28,0,95,82,95,0,5,5.32802646,300,2440.6,231,86.8,36.6,372,211.6,8.45,13.7,15.52,0.24,2,0.87,0.054,0.5,0.5,73,386,146,100,0,0.25,0.64,-0.31,0.41,0,11.34,10.29,18.75,2.34,0.5,1.16,"ABSENT",60,c(-117.948025001392, 47.0044270487108)
"6",7045,"SB-LS-23795","CRAB CREEK",47.299609,-118.210318,"4",47.299231,-118.211047,47.299325,-118.209425,150,12.4,1.3,0.02,0.02,0.02,0,18,100,100,9,2,4.78062976,300,2050.2,165.8,69,34.6,374.1,216,8.16,19.1,15.2,0.64,2,0,0,42.4,42.9,1,4098,20,90,0,0.28,0.65,-0.32,0.87,0,4.66,4.36,13.2,3,0.05,1.22,"ABSENT",22,c(-118.210332115688, 47.2996150414023)
"7",7072,"SB-LS-14579","Crab Creek",47.304145,-118.361796,"4",47.303983,-118.362779,47.304125,-118.360622,166.16,14.8,1.5,0.1,0.22,0.21,0,73,86,100,5,4,4.77825289,300,NA,194.7,NA,39.2,367.6,218.4,7.97,10.8,0,NA,0,0,0,43.1,43.1,1,4097,38,98,0,0.21,0.7,-0.23,NA,NA,7.92,7.24,15.29,1.93,0.21,1.02,"ABSENT",22,c(-118.361810144247, 47.3041510257445)
"8",7100,"SW-SS-12022","Duffy Creek",47.490737,-119.990421,"2",47.490748,-119.989494,47.491106,-119.991146,150,96.1,1.96,0.28,0.57,0.71,0,100,0,100,0,3,5.19923035,300,149.9,186,67.3,39.4,164.5,195.9,6.42,7.6,NA,NA,NA,2,0.112,11.1,11.1,25,200,68,95,2,0.38,1.03,-0.13,NA,NA,2.28,0.6,5.36,2.35,4.68,1.15,"ABSENT",0,c(-119.990435475863, 47.4907428642832)
"9",7150,"SW-RV-10511","YAKIMA RIVER",46.769258,-120.450056,"6",46.763833,-120.458121,46.775929,-120.455877,2040,NA,1.36,0.21,0.15,0.28,64,86,82,100,23,7,6.11799744,300,182.6,70.6,6.7,18.4,78.3,99.9,8.1,14.9,NA,NA,NA,0,0,9,NA,NA,NA,NA,100,NA,0.54,0.9,-0.34,1.92,0,53.45,51.36,143,2.67,NA,1.5,"ABSENT",1300,c(-120.450070389648, 46.7692637712062)
"10",7180,"SP-TR-001","Unamed",47.49926,-119.939171,"4",47.499289,-119.9382,47.499257,-119.939663,150,81.3,1.44,0.25,0.2,0.37,0,100,50,100,0,NA,NA,NA,346.9,201.6,128,37,196.2,222.6,7.42,11.1,NA,NA,NA,6.667,3.052,29.2,29.2,1,104,45,100,0,0.26,0.58,-0.38,NA,NA,3.57,1.3,8.67,2.43,2.28,1.36,"RARE",1,c(-119.939185468984, 47.4992658703081)
"11",7192,"SB-LS-22771","CRAB CREEK",47.298559,-118.33692,"4",47.299085,-118.337411,47.298191,-118.33642,150,3.2,1.2,0.01,0.15,0.09,0,36,100,95,95,5,4.78240764,300,1491.5,155.6,67.1,34.5,368.4,217.8,8.87,21,14.67,0.56,1,0,0,12.9,13.3,13,90,38,64,0,0.08,0.34,-0.45,0.51,0,6.5,5.87,14.7,3,0.5,1.21,"ABSENT",22,c(-118.336934138463, 47.2985650279936)
"12",7230,"SB-SS-14863","Linton Creek",48.857867,-117.395607,"2",48.858067,-117.394684,48.858114,-117.396316,150,96.4,1.4,0.01,0.22,0.09,0,95,0,100,0,4,6.06489064,300,43.8,99.4,8.3,12.2,144.2,97,7.7,6.8,10.09,0.24,7,29.333,7.764,12.6,20.9,4,84,26,100,15,0.23,0.74,-0.21,NA,NA,2.52,1.57,3.67,1.46,6.8,1.26,"ABSENT",12,c(-117.39562133738, 48.8578732317744)
